price,location,price_m2,area,property_from,room_no,finish_condition,balcony_garden_terrace,rent,parking_place,heating
1 599 000 zł,"Warszawa, Służewiec, ul. Bokserska ",17 610 zł/m²,"90,8 m²",pełna własność,4 ,Zapytaj,balkon,Zapytaj,garaż/miejsce parkingowe,Zapytaj
1 180 000 zł,"Warszawa, Mokotów, ul. Obrzeżna ",19 614 zł/m²,"60,16 m²",Zapytaj,2 ,do zamieszkania,Zapytaj,Zapytaj,Zapytaj,Zapytaj
1 680 000 zł,"Warszawa, Służewiec, ul. Bokserska ",18 788 zł/m²,"89,42 m²",Zapytaj,4 ,Zapytaj,Zapytaj,Zapytaj,Zapytaj,Zapytaj
1 600 000 zł,"Warszawa, Mokotów, ul. Bokserska ",17 778 zł/m²,90 m²,Zapytaj,4 ,Zapytaj,"balkon, taras",Zapytaj,garaż/miejsce parkingowe,Zapytaj
699 000 zł,"Warszawa, Mokotów, ul. Cybernetyki ",18 740 zł/m²,"37,3 m²",pełna własność,2 ,do zamieszkania,Zapytaj,460 zł,Zapytaj,miejskie
Zapytaj o cenę,"Warszawa, Mokotów, ul. Domaniewska 47",,"33,62 m²",pełna własność,1 ,do wykończenia,Zapytaj,Zapytaj,garaż/miejsce parkingowe,Zapytaj
2 162 000 zł,"Mokotów, Warszawa, Warszawa",23 500 zł/m²,92 m²,pełna własność,3 ,do zamieszkania,Zapytaj,1 200 zł,garaż/miejsce parkingowe,inne
Zapytaj o cenę,"Warszawa, Mokotów, ul. Śródziemnomorska ",,"48,93 m²",pełna własność,2 ,do wykończenia,"taras, balkon",Zapytaj,garaż/miejsce parkingowe,Zapytaj
1 500 000 zł,"Warszawa, Mokotów, al. Aleja gen. Władysława Sikorskiego ",16 333 zł/m²,"91,84 m²",pełna własność,3 ,do zamieszkania,Zapytaj,1 052 zł,garaż/miejsce parkingowe,miejskie
1 249 000 zł,"Mokotów, Warszawa, Warszawa",16 998 zł/m²,"73,48 m²",pełna własność,3 ,do wykończenia,balkon,470 zł,garaż/miejsce parkingowe,miejskie
1 341 000 zł,"Warszawa, Mokotów, ul. Mariana Zdziechowskiego ",17 431 zł/m²,"76,93 m²",pełna własność,4 ,do wykończenia,Zapytaj,Zapytaj,garaż/miejsce parkingowe,Zapytaj
618 000 zł,"Warszawa, Mokotów, ul. Sonaty 6",14 372 zł/m²,43 m²,spółdzielcze wł. z KW,2 ,Zapytaj,Zapytaj,"831,10 zł",Zapytaj,miejskie
680 000 zł,"Warszawa, Mokotów, ul. Łukowa ",13 878 zł/m²,49 m²,pełna własność,3 ,Zapytaj,taras,Zapytaj,Zapytaj,miejskie
750 000 zł,"Mokotów, Warszawa, Warszawa",15 142 zł/m²,"49,53 m²",pełna własność,2 ,Zapytaj,Zapytaj,Zapytaj,Zapytaj,Zapytaj
1 257 000 zł,"Warszawa, Mokotów, ul. Nałęczowska 33",16 986 zł/m²,74 m²,pełna własność,3 ,do zamieszkania,balkon,Zapytaj,garaż/miejsce parkingowe,miejskie
1 629 000 zł,"Warszawa, Mokotów, ul. Komputerowa ",19 165 zł/m²,85 m²,pełna własność,4 ,Zapytaj,balkon,840 zł,garaż/miejsce parkingowe,Zapytaj
1 247 000 zł,"Warszawa, Mokotów, ul. Santocka ",16 851 zł/m²,74 m²,pełna własność,3 ,do zamieszkania,balkon,Zapytaj,garaż/miejsce parkingowe,miejskie
488 000 zł,"Mokotów, Warszawa, Warszawa",12 675 zł/м²,"38,5 m²",spółdzielcze wł. z KW,2 ,do zamieszkania,balkon,650 zł,Zapytaj,inne
529 000 zł,"Warszawa, Górny Mokotów, ul. Racławicka ",19 250 zł/m²,"27,48 m²",Zapytaj,1 ,do zamieszkania,balkon,Zapytaj,Zapytaj,miejskie
1 950 000 zł,"Warszawa, Mokotów, ul. Santocka ",18 224 zł/m²,107 m²,pełna własność,3 ,Zapytaj,balkon,Zapytaj,garaż/miejsce parkingowe,miejskie
2 080 000 zł,"Mokotów, Warszawa, Warszawa",22 609 zł/m²,92 m²,pełna własność,4 ,do zamieszkania,balkon,Zapytaj,Zapytaj,elektryczne
